surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,mrr,20,0.01,0.1097605842073763
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,mrr,30,0.01,0.1164587683562638
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,mrr,40,0.01,0.1177689619932554
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,mrr,50,0.01,0.1180397747497835
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,recall,10,0.01,0.3696145124716553
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,recall,20,0.01,0.746278221433501
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,recall,30,0.01,0.9091820303000429
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,recall,40,0.01,0.9537447829373296
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-C,recall,50,0.01,0.9657727825429688
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,mrr,10,0.01,0.0459098385155765
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,mrr,20,0.01,0.0683156328215483
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,mrr,30,0.01,0.0757587947092712
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,mrr,40,0.01,0.0781369835461471
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,mrr,50,0.01,0.0791903870167588
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,recall,10,0.01,0.2299615498373262
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,recall,20,0.01,0.5596799106115876
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,recall,30,0.01,0.7423839100857734
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,recall,40,0.01,0.8250024647540175
SR-GNN,diginetica,popular,1440,miasrec,TC-SACP-G,recall,50,0.01,0.8722271517302573
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,mrr,10,0.01,0.00003783853852866965
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,mrr,20,0.01,0.0000568020428596238
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,mrr,30,0.01,0.00006233721536592968
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,mrr,40,0.01,0.00006714434582369438
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,mrr,50,0.01,0.00006824883770003757
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,recall,10,0.01,0.0001314535476026
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,recall,20,0.01,0.0004107923362581
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,recall,30,0.01,0.0005422458838607
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,recall,40,0.01,0.000706562818364
SR-GNN,diginetica,popular,1440,srgnn,CLEAN,recall,50,0.01,0.000755857898715
SR-GNN,diginetica,popular,1440,srgnn,CREAT,mrr,10,0.01,0.0431357252662585
SR-GNN,diginetica,popular,1440,srgnn,CREAT,mrr,20,0.01,0.0484355390415521
SR-GNN,diginetica,popular,1440,srgnn,CREAT,mrr,30,0.01,0.0510965415015958
SR-GNN,diginetica,popular,1440,srgnn,CREAT,mrr,40,0.01,0.0525999539013359
SR-GNN,diginetica,popular,1440,srgnn,CREAT,mrr,50,0.01,0.0534908818239768
SR-GNN,diginetica,popular,1440,srgnn,CREAT,recall,10,0.01,0.1146932202832824
SR-GNN,diginetica,popular,1440,srgnn,CREAT,recall,20,0.01,0.1931874198954944
SR-GNN,diginetica,popular,1440,srgnn,CREAT,recall,30,0.01,0.2600151171579743
SR-GNN,diginetica,popular,1440,srgnn,CREAT,recall,40,0.01,0.3128101482138749
SR-GNN,diginetica,popular,1440,srgnn,CREAT,recall,50,0.01,0.3530349337802754
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,mrr,10,0.01,0.0581267504317887
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,mrr,20,0.01,0.0659470339181313
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,mrr,30,0.01,0.0695108052599531
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,mrr,40,0.01,0.0714067150078923
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,mrr,50,0.01,0.0726486655180654
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,recall,10,0.01,0.1605376450096947
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,recall,20,0.01,0.2746886194091163
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,recall,30,0.01,0.3640934634723454
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,recall,40,0.01,0.430855433961024
SR-GNN,diginetica,popular,1440,srgnn,DPSBR,recall,50,0.01,0.4868710769331887
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,mrr,10,0.01,0.0379257960373013
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,mrr,20,0.01,0.0400237460253091
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,mrr,30,0.01,0.0411213455050209
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,mrr,40,0.01,0.041844560311612
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,mrr,50,0.01,0.0423730639560639
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,recall,10,0.01,0.0754543363239015
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,recall,20,0.01,0.1064116467843176
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,recall,30,0.01,0.1338854382332643
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,recall,40,0.01,0.1593874264681718
SR-GNN,diginetica,popular,1440,srgnn,Poisoning-SSL,recall,50,0.01,0.1832791087449472
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,mrr,10,0.01,0.058610663803901
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,mrr,20,0.01,0.0676771222397883
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,mrr,30,0.01,0.0717704314713422
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,mrr,40,0.01,0.0740995780559531
