surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,mrr,20,0.5984762444084797,0.5143424963044243,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,mrr,30,0.598585420785288,0.514204897647795,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,mrr,40,0.5986834708209627,0.5140808992874927,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,mrr,50,0.5987653895179302,0.5139753620557604,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,recall,10,0.6006030431496269,0.514643834328451,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,recall,20,0.6028344671201814,0.511929180812313,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,recall,30,0.6056130664826317,0.5084347995345353,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,recall,40,0.6090982286634461,0.5040638163084227,10
SR-GNN,diginetica,popular,mdhg,Poisoning-SSL,recall,50,0.6128249367379802,0.4993122442859627,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,mrr,10,0.33317714682682603,0.3554191479827893,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,mrr,20,0.3342848241382512,0.3564999436168442,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,mrr,30,0.33455303567548816,0.3567311533459118,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,mrr,40,0.3346726833604712,0.35680786422330013,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,mrr,50,0.33474575002568496,0.35683440471882416,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,recall,10,0.41144796082684276,0.43630700147303847,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,recall,20,0.42699891550823227,0.45179015894844365,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,recall,30,0.43361267212198884,0.45763213058424157,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,recall,40,0.4377879654277169,0.46040161472115787,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-C,recall,50,0.44108744947254264,0.46166769279469067,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,mrr,10,0.49922822552838325,0.5260940714887035,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,mrr,20,0.4992753515486859,0.5260484186850075,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,mrr,30,0.4993185521756405,0.526003990175313,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,mrr,40,0.499364603924296,0.5259559374314582,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,mrr,50,0.49941461798304426,0.5259035411457827,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,recall,10,0.49956456012356637,0.525880184522389,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,recall,20,0.5002924841434158,0.5251750586781292,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,recall,30,0.5013999802819679,0.5240356755068959,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,recall,40,0.5030415064576556,0.5223232759847076,10
SR-GNN,diginetica,popular,mdhg,TC-SACP-G,recall,50,0.5053271550165961,0.5199287587889999,10
SR-GNN,diginetica,popular,miasrec,CLEAN,mrr,10,0.00012136240125982984,0.00010358296838509681,10
SR-GNN,diginetica,popular,miasrec,CLEAN,mrr,20,0.0001490954388863723,0.00011326230952887978,10
SR-GNN,diginetica,popular,miasrec,CLEAN,mrr,30,0.00017294829084769274,0.00012505762288497017,10
SR-GNN,diginetica,popular,miasrec,CLEAN,mrr,40,0.00019316971345846798,0.0001499332085444064,10
SR-GNN,diginetica,popular,miasrec,CLEAN,mrr,50,0.00020720249186409115,0.0001682380019931983,10
SR-GNN,diginetica,popular,miasrec,CLEAN,recall,10,0.0003614972559071508,0.0003098389830694475,10
SR-GNN,diginetica,popular,miasrec,CLEAN,recall,20,0.00078050543889048,0.0005386237931934493,10
SR-GNN,diginetica,popular,miasrec,CLEAN,recall,30,0.0013819054191724581,0.00104247264343822,10
SR-GNN,diginetica,popular,miasrec,CLEAN,recall,40,0.0020966840842616807,0.0023426829005146112,10
SR-GNN,diginetica,popular,miasrec,CLEAN,recall,50,0.00272766111275424,0.003401858838732443,10
SR-GNN,diginetica,popular,miasrec,CREAT,mrr,10,0.09378350239719883,0.015912553613710547,10
SR-GNN,diginetica,popular,miasrec,CREAT,mrr,20,0.09823063744215305,0.014899202725822834,10
SR-GNN,diginetica,popular,miasrec,CREAT,mrr,30,0.09884530338760067,0.01472845581861575,10
SR-GNN,diginetica,popular,miasrec,CREAT,mrr,40,0.09899789471756706,0.014691695443412756,10
SR-GNN,diginetica,popular,miasrec,CREAT,mrr,50,0.09905034863230318,0.014695546500606175,10
SR-GNN,diginetica,popular,miasrec,CREAT,recall,10,0.2954944296559203,0.042233204934020184,10
SR-GNN,diginetica,popular,miasrec,CREAT,recall,20,0.35775082980051925,0.08425060789024795,10
SR-GNN,diginetica,popular,miasrec,CREAT,recall,30,0.3726034375102698,0.09566762241483741,10
SR-GNN,diginetica,popular,miasrec,CREAT,recall,40,0.37783857504354396,0.09983146579931663,10
SR-GNN,diginetica,popular,miasrec,CREAT,recall,50,0.3802096684084261,0.10161045323275618,10
SR-GNN,diginetica,popular,miasrec,DPSBR,mrr,10,0.03607711706720812,0.011144134469833736,10
SR-GNN,diginetica,popular,miasrec,DPSBR,mrr,20,0.0545499883905808,0.01381963169417753,10
