dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,5418,srgnn,TC-SACP-G,0.005,0.1598639455782313
diginetica,popular,5418,tron,TC-SACP-G,0.005,0.07759045647244404
diginetica,popular,5418,wearec,TC-SACP-G,0.005,0.01513358966775116
diginetica,popular,9496,freqrec,TC-SACP-G,0.005,0.003483519011469322
diginetica,popular,9496,mdhg,TC-SACP-G,0.005,0.9976502678366033
diginetica,popular,9496,miasrec,TC-SACP-G,0.005,0.3152913339248743
diginetica,popular,9496,srgnn,TC-SACP-G,0.005,0.16747181964573268
diginetica,popular,9496,tron,TC-SACP-G,0.005,0.014919977652896908
diginetica,popular,9496,wearec,TC-SACP-G,0.005,0.01582372079266489
diginetica,popular,11103,freqrec,Poisoning-SSL,0.005,0.011255710013473988
diginetica,popular,11103,mdhg,Poisoning-SSL,0.005,0.9996385027440928
diginetica,popular,11103,miasrec,Poisoning-SSL,0.005,0.09967465246968353
diginetica,popular,11103,srgnn,Poisoning-SSL,0.005,0.08199415031713168
diginetica,popular,11103,tron,Poisoning-SSL,0.005,0.32616911498899076
diginetica,popular,11103,wearec,Poisoning-SSL,0.005,0.02832823950836373
diginetica,popular,1440,freqrec,Poisoning-SSL,0.005,0.008807387689375267
diginetica,popular,1440,mdhg,Poisoning-SSL,0.005,0.9999342732261987
diginetica,popular,1440,miasrec,Poisoning-SSL,0.005,0.2514542048703539
diginetica,popular,1440,srgnn,Poisoning-SSL,0.005,0.06725492129218837
diginetica,popular,1440,tron,Poisoning-SSL,0.005,0.028361102895264386
diginetica,popular,1440,wearec,Poisoning-SSL,0.005,0.022840053895954518
diginetica,popular,14514,freqrec,Poisoning-SSL,0.005,0.03881165992967235
diginetica,popular,14514,mdhg,Poisoning-SSL,0.005,0.01234020178119557
diginetica,popular,14514,miasrec,Poisoning-SSL,0.005,0.2651089421275757
diginetica,popular,14514,srgnn,Poisoning-SSL,0.005,0.12078937855335371
diginetica,popular,14514,tron,Poisoning-SSL,0.005,0.1506129021656972
diginetica,popular,14514,wearec,Poisoning-SSL,0.005,0.055818462650760785
diginetica,popular,32614,freqrec,Poisoning-SSL,0.005,0.012734562424003417
diginetica,popular,32614,mdhg,Poisoning-SSL,0.005,0.9997206612113444
diginetica,popular,32614,miasrec,Poisoning-SSL,0.005,0.14073745440205068
diginetica,popular,32614,srgnn,Poisoning-SSL,0.005,0.08887902987281869
diginetica,popular,32614,tron,Poisoning-SSL,0.005,0.33625817476749154
diginetica,popular,32614,wearec,Poisoning-SSL,0.005,0.045778697952611
diginetica,popular,3316,freqrec,Poisoning-SSL,0.005,0.012389496861546551
diginetica,popular,3316,mdhg,Poisoning-SSL,0.005,0.0041243550560320745
diginetica,popular,3316,miasrec,Poisoning-SSL,0.005,0.12760853133523942
diginetica,popular,3316,srgnn,Poisoning-SSL,0.005,0.07402477899372309
