dataset,target_type,victim_model,method,attack_size,recall20_mean
yoochoose1_64,unpopular,miasrec,Poisoning-SSL,0.01,0.131298078643243
yoochoose1_64,unpopular,srgnn,Poisoning-SSL,0.01,0.14218218898708357
yoochoose1_64,unpopular,tron,Poisoning-SSL,0.01,0.26518114837853823
yoochoose1_64,unpopular,wearec,Poisoning-SSL,0.01,0.12003828401731723
yoochoose1_64,unpopular,freqrec,DPSBR,0.01,0.13135532577194173
yoochoose1_64,unpopular,mdhg,DPSBR,0.01,0.3641883430534187
yoochoose1_64,unpopular,miasrec,DPSBR,0.01,0.3246395219864754
yoochoose1_64,unpopular,srgnn,DPSBR,0.01,0.36507567354824855
yoochoose1_64,unpopular,tron,DPSBR,0.01,0.4184733700231253
yoochoose1_64,unpopular,wearec,DPSBR,0.01,0.22668431786468207
diginetica,popular,freqrec,DPSBR,0.03,0.0957737684445759
diginetica,popular,freqrec,CREAT,0.03,0.1138979263202865
diginetica,popular,freqrec,Poisoning-SSL,0.03,0.0943836471786782
diginetica,popular,freqrec,TC-SACP-G,0.03,0.1012783857504354
diginetica,popular,freqrec,TC-SACP-C,0.03,0.0920717079102172
diginetica,unpopular,freqrec,DPSBR,0.03,0.1030825856912813
diginetica,unpopular,freqrec,CREAT,0.03,0.1208682506819152
diginetica,unpopular,freqrec,Poisoning-SSL,0.03,0.065984751388478
diginetica,unpopular,freqrec,TC-SACP-G,0.03,0.1106083012915311
diginetica,unpopular,freqrec,TC-SACP-C,0.03,0.0969207006474087
yoochoose1_64,popular,freqrec,DPSBR,0.03,0.3776700418619628
yoochoose1_64,popular,freqrec,CREAT,0.03,0.319619664388708
yoochoose1_64,popular,freqrec,Poisoning-SSL,0.03,0.4218916598089377
yoochoose1_64,popular,freqrec,TC-SACP-G,0.03,0.3628913377938387
yoochoose1_64,popular,freqrec,TC-SACP-C,0.03,0.3650094815556907
yoochoose1_64,unpopular,freqrec,DPSBR,0.03,0.3644423771870192
yoochoose1_64,unpopular,freqrec,CREAT,0.03,0.2794464918243944
yoochoose1_64,unpopular,freqrec,Poisoning-SSL,0.03,0.1791262656982361
yoochoose1_64,unpopular,freqrec,TC-SACP-G,0.03,0.3681097713692797
yoochoose1_64,unpopular,freqrec,TC-SACP-C,0.03,0.3677770224337185
diginetica,popular,mdhg,DPSBR,0.03,0.2016743895625883
diginetica,popular,mdhg,CREAT,0.03,0.3822932071379276
diginetica,popular,mdhg,Poisoning-SSL,0.03,0.7026109960892569
diginetica,popular,mdhg,TC-SACP-G,0.03,0.4008988136317329
diginetica,popular,mdhg,TC-SACP-C,0.03,0.2452956061651713
diginetica,unpopular,mdhg,DPSBR,0.03,0.3016760327319334
diginetica,unpopular,mdhg,CREAT,0.03,0.2794143744454304
diginetica,unpopular,mdhg,Poisoning-SSL,0.03,0.4974218672976437
diginetica,unpopular,mdhg,TC-SACP-G,0.03,0.4015429360149857
