dataset,target_type,target_item,victim_model,metric,k,value,method
diginetica,popular,32614,mdhg,recall,50,0.9975845410628019,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,mrr,10,0.9967810051710277,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,mrr,20,0.9967890770259905,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,mrr,30,0.9967929306964375,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,mrr,40,0.996793835307012,TC-SACP-G w/o Sur.
diginetica,popular,32614,mdhg,mrr,50,0.996794544095273,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,recall,10,0.1782510105491472,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,recall,20,0.4711788096881265,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,recall,30,0.6893095402412173,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,recall,40,0.8068290117979559,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,recall,50,0.869647375858556,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,mrr,10,0.04325669382851626,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,mrr,20,0.06279724394700677,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,mrr,30,0.0716190305866834,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,mrr,40,0.0750000697221252,TC-SACP-G w/o Sur.
diginetica,popular,32614,miasrec,mrr,50,0.07640232564851916,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,recall,10,0.12677051496927275,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,recall,20,0.22204147359426862,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,recall,30,0.29979624700121593,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,recall,40,0.36586808636498075,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,recall,50,0.4171021065431003,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,mrr,10,0.04406337912820211,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,mrr,20,0.05056313395779753,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,mrr,30,0.053672396286558594,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,mrr,40,0.0555560393947414,TC-SACP-G w/o Sur.
diginetica,popular,32614,srgnn,mrr,50,0.0566877870157438,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,recall,10,0.16950934963357323,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,recall,20,0.3250188964474679,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,recall,30,0.4427684117125111,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,recall,40,0.5347694633408919,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,recall,50,0.6047356140523842,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,mrr,10,0.037046517863336764,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,mrr,20,0.047616685217775415,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,mrr,30,0.052324378366347075,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,mrr,40,0.054950424222663524,TC-SACP-G w/o Sur.
diginetica,popular,32614,tron,mrr,50,0.0565024807019079,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,recall,10,0.011370731867626278,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,recall,20,0.032879818594104306,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,recall,30,0.06950606329488317,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,recall,40,0.13950507739327614,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,recall,50,0.24895658746590424,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,mrr,10,0.003966891180979706,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,mrr,20,0.005354614526109197,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,mrr,30,0.006781803389944934,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,mrr,40,0.008746230397543821,TC-SACP-G w/o Sur.
diginetica,popular,32614,wearec,mrr,50,0.011142296999097462,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,recall,10,0.004173650136383056,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,recall,20,0.015642972164711295,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,recall,30,0.03633047421867298,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,recall,40,0.0676985770153472,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,recall,50,0.11927766275592362,TC-SACP-G w/o Sur.
